City,ISO3,country,country_num,year,population,GDP_USD,gdp_per_capita,home_adv,tot_gold,tot_silver,tot_bronze,tot_medals,last_medals,secondLast_medals
Moskva,AFG,Afghanistan,1,1980,13248370,3641723322,274,0,0,0,0,0,0,0
Athina,AFG,Afghanistan,1,2004,24118979,5285465686,219,0,0,0,0,0,0,0
Beijing,AFG,Afghanistan,1,2008,27294031,10190529882,373,0,0,0,1,1,0,0
London,AFG,Afghanistan,1,2012,30696958,20536542737,669,0,0,0,1,1,1,0
Rio de Janeiro,AFG,Afghanistan,1,2016,34656032,19469022208,561,0,0,0,0,0,1,1
Beijing,ALB,Albania,2,2008,2947314,12881352688,4370,0,0,0,0,0,0,0
London,ALB,Albania,2,2012,2900401,12319784787,4247,0,0,0,0,0,0,0
Rio de Janeiro,ALB,Albania,2,2016,2876101,11863865978,4124,0,0,0,0,0,0,0
Los Angeles,DZA,Algeria,3,1984,21893853,53698278906,2452,0,0,0,2,2,0,0
Seoul,DZA,Algeria,3,1988,24591492,59089067187,2402,0,0,0,0,0,2,0
Barcelona,DZA,Algeria,3,1992,27181094,48003298223,1766,0,1,0,1,2,0,2
Atlanta,DZA,Algeria,3,1996,29411415,46941496780,1596,0,2,0,1,3,2,0
Sydney,DZA,Algeria,3,2000,31183660,54790245601,1757,0,1,1,3,5,3,2
Athina,DZA,Algeria,3,2004,32831096,85324998814,2598,0,0,0,0,0,5,3
Beijing,DZA,Algeria,3,2008,34860715,171000691878,4905,0,0,1,1,2,0,5
London,DZA,Algeria,3,2012,37565847,209058991952,5565,0,1,0,0,1,2,0
Rio de Janeiro,DZA,Algeria,3,2016,40606052,159049096745,3916,0,0,2,0,2,1,2
Barcelona,AND,Andorra,5,1992,58888,1210013652,20547,0,0,0,0,0,0,0
Atlanta,AND,Andorra,5,1996,64360,1223945357,19017,0,0,0,0,0,0,0
Sydney,AND,Andorra,5,2000,65390,1434429703,21936,0,0,0,0,0,0,0
Athina,AND,Andorra,5,2004,76244,2935659300,38503,0,0,0,0,0,0,0
Beijing,AND,Andorra,5,2008,83861,4007353157,47785,0,0,0,0,0,0,0
London,AND,Andorra,5,2012,82431,3164615187,38391,0,0,0,0,0,0,0
Rio de Janeiro,AND,Andorra,5,2016,77281,2858517699,36988,0,0,0,0,0,0,0
Athina,AGO,Angola,6,2004,18865716,19640848729,1041,0,0,0,0,0,0,0
Beijing,AGO,Angola,6,2008,21759420,84178032716,3868,0,0,0,0,0,0,0
London,AGO,Angola,6,2012,25096150,115398371428,4598,0,0,0,0,0,0,0
Rio de Janeiro,AGO,Angola,6,2016,28813463,95335111741,3308,0,0,0,0,0,0,0
Sydney,ATG,Antigua & Barbuda,7,2000,83584,830158769,9932,0,0,0,0,0,0,0
Athina,ATG,Antigua & Barbuda,7,2004,88257,919577143,10419,0,0,0,0,0,0,0
Beijing,ATG,Antigua & Barbuda,7,2008,92478,1368431037,14797,0,0,0,0,0,0,0
London,ATG,Antigua & Barbuda,7,2012,96777,1211411704,12517,0,0,0,0,0,0,0
Rio de Janeiro,ATG,Antigua & Barbuda,7,2016,100963,1460144704,14462,0,0,0,0,0,0,0
Los Angeles,ARG,Argentina,8,1984,29920904,79092001998,2643,0,0,0,0,0,0,1
Seoul,ARG,Argentina,8,1988,31795517,126206817196,3969,0,0,1,1,2,0,0
Barcelona,ARG,Argentina,8,1992,33655151,228788617202,6798,0,0,0,1,1,2,0
Atlanta,ARG,Argentina,8,1996,35419682,27214975e4,7683,0,0,2,1,3,1,2
Sydney,ARG,Argentina,8,2000,37057452,28420375e4,7669,0,0,2,2,4,3,1
Athina,ARG,Argentina,8,2004,38728696,164657930453,4251,0,2,0,4,6,4,3
Beijing,ARG,Argentina,8,2008,40382389,361558037110,8953,0,2,0,4,6,6,4
London,ARG,Argentina,8,2012,42096739,545982375701,12969,0,1,1,2,4,6,6
Rio de Janeiro,ARG,Argentina,8,2016,43847430,545476103427,12440,0,3,1,0,4,4,6
London,ARM,Armenia,9,2012,2881922,10619320049,3684,0,0,1,2,3,6,0
Rio de Janeiro,ARM,Armenia,9,2016,2924816,10572298342,3614,0,1,3,0,4,3,6
Montreal,AUS,Australia,11,1976,14033e3,104974158578,7480,0,0,1,4,5,17,17
Moskva,AUS,Australia,11,1980,14692e3,149887465181,10201,0,2,2,5,9,5,17
Los Angeles,AUS,Australia,11,1984,15544e3,193503894222,12448,0,4,8,12,24,9,5
Seoul,AUS,Australia,11,1988,16532200,236135768335,14283,0,3,6,5,14,24,9
Barcelona,AUS,Australia,11,1992,17495e3,325692532493,18616,0,7,9,11,27,14,24
Atlanta,AUS,Australia,11,1996,18311e3,401819423369,21944,0,9,9,23,41,27,14
Sydney,AUS,Australia,11,2000,19153e3,415446209885,21690,1,16,25,17,58,41,27
Athina,AUS,Australia,11,2004,20127400,613329776640,30472,0,17,16,17,50,58,41
Beijing,AUS,Australia,11,2008,21249200,1055334825425,49664,0,14,15,17,46,50,58
London,AUS,Australia,11,2012,22728254,1538194473087,67677,0,7,16,12,35,46,50
Rio de Janeiro,AUS,Australia,11,2016,24127159,1204616439828,49927,0,8,11,10,29,35,46
Montreal,AUT,Austria,12,1976,7565525,42959976068,5678,0,0,0,1,1,3,4
Moskva,AUT,Austria,12,1980,7549433,82058912465,10869,0,1,2,1,4,1,3
Los Angeles,AUT,Austria,12,1984,7561434,67985345162,8991,0,1,1,1,3,4,1
Seoul,AUT,Austria,12,1988,7585317,133339397080,17578,0,1,0,0,1,3,4
Barcelona,AUT,Austria,12,1992,7840709,195078126346,24880,0,0,2,0,2,1,3
Atlanta,AUT,Austria,12,1996,7959017,237250948791,29809,0,0,1,2,3,2,1
Sydney,AUT,Austria,12,2000,8011566,196799778883,24564,0,2,1,0,3,3,2
Athina,AUT,Austria,12,2004,8171966,300904221505,36821,0,2,4,1,7,3,3
Beijing,AUT,Austria,12,2008,8321496,430294287388,51708,0,0,1,2,3,7,3
London,AUT,Austria,12,2012,8429991,409425234155,48567,0,0,0,0,0,3,7
Rio de Janeiro,AUT,Austria,12,2016,8747358,390799991147,44676,0,0,0,1,1,0,3
London,AZE,Azerbaijan,13,2012,9295784,69684317719,7496,0,2,2,6,10,7,5
Rio de Janeiro,AZE,Azerbaijan,13,2016,9762274,37847715736,3876,0,1,7,10,18,10,7
Montreal,BHS,Bahamas,14,1976,192902,6421e5,3328,0,0,0,0,0,0,0
Los Angeles,BHS,Bahamas,14,1984,230015,20411e5,8873,0,0,0,0,0,0,0
Seoul,BHS,Bahamas,14,1988,247579,28179e5,11381,0,0,0,0,0,0,0
Barcelona,BHS,Bahamas,14,1992,266134,3109e6,11682,0,0,0,1,1,0,0
Atlanta,BHS,Bahamas,14,1996,283790,3609e6,12717,0,0,1,0,1,1,0
Sydney,BHS,Bahamas,14,2000,297890,6327552e3,21241,0,2,0,1,3,1,1
Athina,BHS,Bahamas,14,2004,322526,7094413e3,21996,0,1,0,1,2,3,1
Beijing,BHS,Bahamas,14,2008,348676,8247e6,23652,0,0,1,1,2,2,3
London,BHS,Bahamas,14,2012,372039,107205e5,28815,0,1,0,0,1,2,2
Rio de Janeiro,BHS,Bahamas,14,2016,391232,112618e5,28785,0,1,0,1,2,1,2
Sydney,BHR,Bahrain,15,2000,664614,9062906915,13636,0,0,0,0,0,0,0
Athina,BHR,Bahrain,15,2004,829848,13150166755,15846,0,0,0,0,0,0,0
Beijing,BHR,Bahrain,15,2008,1114590,25710877660,23067,0,0,0,0,0,0,0
London,BHR,Bahrain,15,2012,1300217,30749308511,23649,0,0,0,1,1,0,0
Rio de Janeiro,BHR,Bahrain,15,2016,1425171,32179069149,22579,0,1,1,0,2,1,0
Sydney,BGD,Bangladesh,16,2000,131581243,53369787319,405,0,0,0,0,0,0,0
Athina,BGD,Bangladesh,16,2004,141307489,65108544250,460,0,0,0,0,0,0,0
Beijing,BGD,Bangladesh,16,2008,148805814,91631278239,615,0,0,0,0,0,0,0
London,BGD,Bangladesh,16,2012,155727053,133355749482,856,0,0,0,0,0,0,0
Rio de Janeiro,BGD,Bangladesh,16,2016,162951560,221415162446,1358,0,0,0,0,0,0,0
Beijing,BRB,Barbados,17,2008,277319,46073e5,16613,0,0,0,0,0,0,1
London,BRB,Barbados,17,2012,281585,465635e4,16536,0,0,0,0,0,0,0
Rio de Janeiro,BRB,Barbados,17,2016,284996,452905e4,15891,0,0,0,0,0,0,0
London,BLR,Belarus,18,2012,9464495,65685102555,6940,0,2,5,5,12,18,13
Rio de Janeiro,BLR,Belarus,18,2016,9507120,47407217531,4986,0,1,4,4,9,12,18
Montreal,BEL,Belgium,19,1976,9818227,71494539498,7281,0,0,3,3,6,2,2
Moskva,BEL,Belgium,19,1980,9859242,127508202373,12932,0,1,0,0,1,6,2
Los Angeles,BEL,Belgium,19,1984,9855372,83795680815,8502,0,1,1,2,4,1,6
Seoul,BEL,Belgium,19,1988,9901664,163167853538,16478,0,0,0,2,2,4,1
Barcelona,BEL,Belgium,19,1992,10045158,236038384442,23497,0,0,1,2,3,2,4
Atlanta,BEL,Belgium,19,1996,10156637,281358175896,27701,0,2,2,2,6,3,2
Sydney,BEL,Belgium,19,2000,10251250,237904919845,23207,0,0,2,3,5,6,3
Athina,BEL,Belgium,19,2004,10421137,370885026074,35589,0,1,0,2,3,5,6
Beijing,BEL,Belgium,19,2008,10709973,518625897173,48424,0,1,1,0,2,3,5
London,BEL,Belgium,19,2012,11128246,497884216569,44740,0,0,1,2,3,2,3
Rio de Janeiro,BEL,Belgium,19,2016,11348159,467955709818,41236,0,2,2,2,6,3,2
Seoul,BLZ,Belize,20,1988,179028,3149e5,1758,0,0,0,0,0,0,0
Barcelona,BLZ,Belize,20,1992,194317,518239100,2666,0,0,0,0,0,0,0
Atlanta,BLZ,Belize,20,1996,213676,641383800,3001,0,0,0,0,0,0,0
Sydney,BLZ,Belize,20,2000,247315,832072450,3364,0,0,0,0,0,0,0
Athina,BLZ,Belize,20,2004,276089,1057845500,3831,0,0,0,0,0,0,0
Beijing,BLZ,Belize,20,2008,306165,1368625150,4470,0,0,0,0,0,0,0
London,BLZ,Belize,20,2012,336701,1573618750,4673,0,0,0,0,0,0,0
Rio de Janeiro,BLZ,Belize,20,2016,366954,17411e5,4744,0,0,0,0,0,0,0
Barcelona,BEN,Benin,21,1992,5331803,1695315306,317,0,0,0,0,0,0,0
Atlanta,BEN,Benin,21,1996,6094259,2361116588,387,0,0,0,0,0,0,0
Sydney,BEN,Benin,21,2000,6865951,2569186643,374,0,0,0,0,0,0,0
Athina,BEN,Benin,21,2004,7750004,4521424807,583,0,0,0,0,0,0,0
Beijing,BEN,Benin,21,2008,8696916,7132787397,820,0,0,0,0,0,0,0
London,BEN,Benin,21,2012,9729160,8152554487,837,0,0,0,0,0,0,0
Rio de Janeiro,BEN,Benin,21,2016,10872298,8583031398,789,0,0,0,0,0,0,0
Montreal,BMU,Bermuda,22,1976,53200,3863e5,7261,0,0,0,1,1,0,0
Los Angeles,BMU,Bermuda,22,1984,56423,985699968,17469,0,0,0,0,0,1,0
Seoul,BMU,Bermuda,22,1988,58347,1415100032,24253,0,0,0,0,0,0,1
Barcelona,BMU,Bermuda,22,1992,58595,1679900032,28669,0,0,0,0,0,0,0
Atlanta,BMU,Bermuda,22,1996,60129,269539e4,44826,0,0,0,0,0,0,0
Sydney,BMU,Bermuda,22,2000,61833,3480219e3,56284,0,0,0,0,0,0,0
Athina,BMU,Bermuda,22,2004,63740,4484703e3,70359,0,0,0,0,0,0,0
Beijing,BMU,Bermuda,22,2008,65273,6109928e3,93605,0,0,0,0,0,0,0
London,BMU,Bermuda,22,2012,64798,5537537e3,85458,0,0,0,0,0,0,0
Sydney,BTN,Bhutan,23,2000,573416,439158233,765,0,0,0,0,0,0,0
Athina,BTN,Bhutan,23,2004,640282,702682019,1097,0,0,0,0,0,0,0
Beijing,BTN,Bhutan,23,2008,700950,1258332337,1795,0,0,0,0,0,0,0
London,BTN,Bhutan,23,2012,752967,1823692110,2422,0,0,0,0,0,0,0
Rio de Janeiro,BTN,Bhutan,23,2016,797765,2212638830,2773,0,0,0,0,0,0,0
Los Angeles,BOL,Bolivia,24,1984,6085496,6169481549,1013,0,0,0,0,0,0,0
Seoul,BOL,Bolivia,24,1988,6592787,4597615563,697,0,0,0,0,0,0,0
Barcelona,BOL,Bolivia,24,1992,7131707,5643893347,791,0,0,0,0,0,0,0
Atlanta,BOL,Bolivia,24,1996,7717443,7396966657,958,0,0,0,0,0,0,0
Sydney,BOL,Bolivia,24,2000,8339512,8397912509,1007,0,0,0,0,0,0,0
Athina,BOL,Bolivia,24,2004,8967741,8773451739,978,0,0,0,0,0,0,0
Beijing,BOL,Bolivia,24,2008,9599855,16674324634,1736,0,0,0,0,0,0,0
London,BOL,Bolivia,24,2012,10239004,27084497540,2645,0,0,0,0,0,0,0
Rio de Janeiro,BOL,Bolivia,24,2016,10887882,33806395514,3104,0,0,0,0,0,0,0
London,BIH,Bosnia & Herzegovina,25,2012,3648200,17226849297,4722,0,0,0,0,0,0,0
Rio de Janeiro,BIH,Bosnia & Herzegovina,25,2016,3516816,16910277134,4808,0,0,0,0,0,0,0
Atlanta,BWA,Botswana,26,1996,1604060,4847752843,3022,0,0,0,0,0,0,0
Sydney,BWA,Botswana,26,2000,1728340,5788329609,3349,0,0,0,0,0,0,0
Athina,BWA,Botswana,26,2004,1829330,8957467707,4896,0,0,0,0,0,0,0
Beijing,BWA,Botswana,26,2008,1946351,10945070442,5623,0,0,0,0,0,0,0
London,BWA,Botswana,26,2012,2089315,14686278707,7029,0,0,1,0,1,0,0
Rio de Janeiro,BWA,Botswana,26,2016,2250260,15581137274,6924,0,0,0,0,0,1,0
Montreal,BRA,Brazil,27,1976,110213082,152678020453,1385,0,0,0,2,2,2,3
Moskva,BRA,Brazil,27,1980,121159761,235024598983,1939,0,2,0,2,4,2,2
Los Angeles,BRA,Brazil,27,1984,132800684,209023912697,1573,0,1,5,2,8,4,2
Seoul,BRA,Brazil,27,1988,144001542,330397381998,2294,0,1,2,3,6,8,4
Barcelona,BRA,Brazil,27,1992,154564278,40059925e4,2591,0,2,1,0,3,6,8
Atlanta,BRA,Brazil,27,1996,164913306,850425828276,5156,0,3,3,9,15,3,6
Sydney,BRA,Brazil,27,2000,175287587,655421153321,3739,0,0,6,6,12,15,3
Athina,BRA,Brazil,27,2004,184738458,669316239316,3623,0,5,2,3,10,12,15
Beijing,BRA,Brazil,27,2008,192979029,1695824517396,8787,0,3,4,9,16,10,12
London,BRA,Brazil,27,2012,200560983,2465188674415,12291,0,3,5,9,17,16,10
Rio de Janeiro,BRA,Brazil,27,2016,207652865,1796186586414,8649,1,7,6,6,19,17,16
Rio de Janeiro,BRN,Brunei,28,2016,423196,11400653732,26939,0,0,0,0,0,0,0
Sydney,BGR,Bulgaria,29,2000,8170172,13148099185,1609,0,5,6,2,13,15,16
Athina,BGR,Bulgaria,29,2004,7716860,26094622564,3381,0,2,1,9,12,13,15
Beijing,BGR,Bulgaria,29,2008,7492561,54409138498,7261,0,1,1,3,5,12,13
London,BGR,Bulgaria,29,2012,7305888,53903028252,7378,0,0,1,1,2,5,12
Rio de Janeiro,BGR,Bulgaria,29,2016,7127822,53237882473,7469,0,0,1,2,3,2,5
Sydney,BFA,Burkina Faso,30,2000,11607942,2628920056,226,0,0,0,0,0,0,0
Athina,BFA,Burkina Faso,30,2004,13030569,4838551100,371,0,0,0,0,0,0,0
Beijing,BFA,Burkina Faso,30,2008,14689726,8369637065,569,0,0,0,0,0,0,0
London,BFA,Burkina Faso,30,2012,16571216,11166063467,673,0,0,0,0,0,0,0
Rio de Janeiro,BFA,Burkina Faso,30,2016,18646433,11693235542,627,0,0,0,0,0,0,0
London,BDI,Burundi,31,2012,9319710,2472384907,265,0,0,0,0,0,0,0
Rio de Janeiro,BDI,Burundi,31,2016,10524117,3007029030,285,0,0,1,0,1,0,0
Athina,KHM,Cambodia,32,2004,13063377,5337833248,408,0,0,0,0,0,0,0
Beijing,KHM,Cambodia,32,2008,13880509,10351914093,745,0,0,0,0,0,0,0
London,KHM,Cambodia,32,2012,14776866,14038383450,950,0,0,0,0,0,0,0
Rio de Janeiro,KHM,Cambodia,32,2016,15762370,20016747754,1269,0,0,0,0,0,0,0
Moskva,CMR,Cameroon,33,1980,8618354,6740756569,782,0,0,0,0,0,0,0
Los Angeles,CMR,Cameroon,33,1984,9742263,7801858825,800,0,0,0,1,1,0,0
Seoul,CMR,Cameroon,33,1988,11031817,12493286762,1132,0,0,0,0,0,1,0
Barcelona,CMR,Cameroon,33,1992,12408931,11396310990,918,0,0,0,0,0,0,1
Atlanta,CMR,Cameroon,33,1996,13812472,10513387442,761,0,0,0,0,0,0,0
Sydney,CMR,Cameroon,33,2000,15274234,10083937740,660,0,1,0,0,1,0,0
Athina,CMR,Cameroon,33,2004,16959081,17430933517,1027,0,1,0,0,1,1,0
Beijing,CMR,Cameroon,33,2008,18907008,26409781215,1396,0,1,0,0,1,1,1
London,CMR,Cameroon,33,2012,21082383,29104437355,1380,0,0,0,0,0,1,1
Rio de Janeiro,CMR,Cameroon,33,2016,23439189,32217497470,1374,0,0,0,0,0,0,1
Montreal,CAN,Canada,34,1976,23518e3,206575564402,8783,1,0,5,6,11,5,5
Los Angeles,CAN,Canada,34,1984,25702e3,355372558104,13826,0,10,18,16,44,11,5
Seoul,CAN,Canada,34,1988,26895e3,507354351182,18864,0,3,2,5,10,44,11
Barcelona,CAN,Canada,34,1992,28519597,592387689253,20771,0,7,4,7,18,10,44
Atlanta,CAN,Canada,34,1996,29671900,628546387972,21183,0,3,11,8,22,18,10
Sydney,CAN,Canada,34,2000,30769700,742293448253,24124,0,3,3,8,14,22,18
Athina,CAN,Canada,34,2004,31995e3,1023196003075,31979,0,3,6,3,12,14,22
Beijing,CAN,Canada,34,2008,33245773,1549131208997,46596,0,3,9,7,19,12,14
London,CAN,Canada,34,2012,34750545,1824288757448,52496,0,1,5,12,18,19,12
Rio de Janeiro,CAN,Canada,34,2016,36286425,1529760492201,42157,0,4,3,15,22,18,19
London,CPV,Cape Verde,35,2012,513979,1751888562,3408,0,0,0,0,0,0,0
Rio de Janeiro,CPV,Cape Verde,35,2016,539560,1617467436,2997,0,0,0,0,0,0,0
Atlanta,CAF,Central African Republic,37,1996,3435821,1007791186,293,0,0,0,0,0,0,0
Sydney,CAF,Central African Republic,37,2000,3754986,914500299,243,0,0,0,0,0,0,0
Athina,CAF,Central African Republic,37,2004,4055036,1270080251,313,0,0,0,0,0,0,0
Beijing,CAF,Central African Republic,37,2008,4345386,1985239277,456,0,0,0,0,0,0,0
London,CAF,Central African Republic,37,2012,4490416,2184183758,486,0,0,0,0,0,0,0
Rio de Janeiro,CAF,Central African Republic,37,2016,4594621,1756124677,382,0,0,0,0,0,0,0
Seoul,TCD,Chad,38,1988,5584339,1482597299,265,0,0,0,0,0,0,0
Barcelona,TCD,Chad,38,1992,6349089,1881847677,296,0,0,0,0,0,0,0
Atlanta,TCD,Chad,38,1996,7241134,1607345450,221,0,0,0,0,0,0,0
Sydney,TCD,Chad,38,2000,8342559,1385058162,166,0,0,0,0,0,0,0
Athina,TCD,Chad,38,2004,9710043,4414929220,454,0,0,0,0,0,0,0
Beijing,TCD,Chad,38,2008,11133861,10351932604,929,0,0,0,0,0,0,0
London,TCD,Chad,38,2012,12705135,12368071039,973,0,0,0,0,0,0,0
Rio de Janeiro,TCD,Chad,38,2016,14452543,9600761474,664,0,0,0,0,0,0,0
Montreal,CHL,Chile,39,1976,10601836,10341925249,975,0,0,0,0,0,0,0
Los Angeles,CHL,Chile,39,1984,11985658,19622527480,1637,0,0,0,0,0,0,0
Seoul,CHL,Chile,39,1988,12809025,26040229793,2032,0,0,1,0,1,0,0
Barcelona,CHL,Chile,39,1992,13671033,45964327559,3362,0,0,0,0,0,1,0
Atlanta,CHL,Chile,39,1996,14497826,78039572222,5382,0,0,0,0,0,0,1
Sydney,CHL,Chile,39,2000,15262754,77860932152,5101,0,0,0,1,1,0,0
Athina,CHL,Chile,39,2004,15973778,99210392858,6210,0,2,0,1,3,1,0
Beijing,CHL,Chile,39,2008,16661942,179638496279,10781,0,0,1,0,1,3,1
London,CHL,Chile,39,2012,17309746,267122320057,15431,0,0,0,0,0,1,3
Rio de Janeiro,CHL,Chile,39,2016,17909754,247027912574,13792,0,0,0,0,0,0,1
Montreal,CHN,China,40,1976,930685e3,153940455342,165,0,0,0,0,0,0,0
Los Angeles,CHN,China,40,1984,1036825e3,259946510957,250,0,15,8,9,32,0,0
Seoul,CHN,China,40,1988,110163e4,312353631208,283,0,5,11,12,28,32,0
Barcelona,CHN,China,40,1992,116497e4,426915712711,366,0,16,22,16,54,28,32
Atlanta,CHN,China,40,1996,121755e4,863746717504,709,0,17,22,12,51,54,28
Sydney,CHN,China,40,2000,1262645e3,1211346869605,959,0,28,16,14,58,51,54
Athina,CHN,China,40,2004,1296075e3,1955347004963,1508,0,32,18,14,64,58,51
Beijing,CHN,China,40,2008,1324655e3,4598206091384,3471,1,51,21,28,100,64,58
London,CHN,China,40,2012,1350695e3,8560547314679,6337,0,38,27,24,89,100,64
Rio de Janeiro,CHN,China,40,2016,1378665e3,11199145157649,8123,0,26,18,26,70,89,100
Montreal,COL,Colombia,41,1976,25323406,15341403660,605,0,0,0,0,0,3,0
Moskva,COL,Colombia,41,1980,27737900,33400735644,1204,0,0,0,0,0,0,3
Los Angeles,COL,Colombia,41,1984,30350086,38253120738,1260,0,0,1,0,1,0,0
Seoul,COL,Colombia,41,1988,32975535,39212550050,1189,0,0,0,1,1,1,0
Barcelona,COL,Colombia,41,1992,35558682,49279585355,1385,0,0,0,1,1,1,1
Atlanta,COL,Colombia,41,1996,38049038,97160109278,2553,0,0,0,0,0,1,1
